narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier
135,24,305,0,0.0,1.0,1,0.0,1175.0,3.667,1939.0,male,Sansei,2003.0,A
136,25,280,0,0.0,1.0,1,0.0,1312.0,22.333,1920.0,female,Nisei,2003.0,A
139,41,1470,0,0.0,1.0,1,0.0,1445.0,20.417,1922.0,male,Nisei,2004.0,A
14,25,174,0,0.0,1.0,1,0.0,2645.0,21.417,1921.0,female,Nisei,1998.0,A
140,43,1995,0,0.0,1.0,1,1.0,1470.0,16.417,1926.0,male,Nisei,1983.0,A
141,25,1626,0,0.0,1.0,1,0.0,2662.0,35.417,1907.0,male,Nisei,1994.0,A
142,55,3459,0,0.0,1.0,1,0.0,1295.0,26.417,1916.0,male,Nisei,1994.0,A
143,17,1079,0,0.0,1.0,1,0.0,1275.0,21.5,1921.0,female,Nisei,1994.0,A
147,24,274,0,0.0,1.0,1,1.0,1312.0,14.333,1928.0,female,Nisei,2003.0,A
149,23,250,0,0.0,1.0,1,1.0,3336.0,12.417,1930.0,male,Nisei,2003.0,A
150,23,278,0,0.0,1.0,1,0.0,2645.0,9.417,1933.0,female,Nisei,2003.0,A
151,57,2393,0,0.0,1.0,1,0.0,847.0,29.25,1913.0,male,Nisei,2003.0,A
16,45,325,0,0.0,1.0,1,0.0,2444.0,31.5,1911.0,female,Nisei,1998.0,A
17,25,213,0,0.0,1.0,1,0.0,2645.0,23.417,1919.0,male,Nisei,1997.0,A
170,37,374,0,0.0,1.0,1,0.0,2662.0,20.417,1922.0,male,Nisei,2010.0,A
174,66,485,0,0.0,1.0,1,0.0,1444.0,19.417,1923.0,female,Nisei,2004.0,A
178,25,326,0,0.0,1.0,1,1.0,2707.0,13.333,1929.0,male,Nisei,2004.0,A
179,20,193,0,0.0,1.0,1,0.0,2645.0,7.417,1935.0,male,Sansei,2004.0,A
18,52,2051,0,0.0,1.0,1,1.0,1902.0,18.5,1924.0,female,Nisei,2009.0,A
180,14,204,0,0.0,1.0,1,0.0,2240.0,20.25,1922.0,male,Nisei,2004.0,A
181,24,245,0,0.0,1.0,1,0.0,1312.0,21.333,1921.0,female,Nisei,2004.0,A
184,25,207,0,0.0,1.0,1,0.0,2645.0,33.417,1909.0,female,Nisei,2004.0,A
185,23,207,0,0.0,1.0,1,0.0,1312.0,20.333,1922.0,female,Nisei,2004.0,A
186,22,1007,0,0.0,1.0,1,1.0,1329.0,18.417,1924.0,male,Nisei,2004.0,A
187,16,746,0,0.0,1.0,1,1.0,1400.0,11.25,1931.0,male,Nisei,2004.0,A
188,23,1045,0,0.0,1.0,1,0.0,1400.0,4.25,1938.0,male,Sansei,2004.0,A
189,24,238,0,0.0,1.0,1,1.0,1312.0,10.333,1932.0,male,Nisei,2004.0,A
191,23,184,0,0.0,1.0,1,0.0,1312.0,26.333,1916.0,female,Nisei,2004.0,A
192,25,1167,0,0.0,1.0,1,1.0,1275.0,12.5,1930.0,female,Nisei,2004.0,A
193,18,854,0,0.0,1.0,1,1.0,1400.0,18.25,1924.0,male,Nisei,2004.0,A
195,39,1177,0,0.0,1.0,1,0.0,1314.0,29.333,1913.0,male,Nisei,2005.0,A
196,69,1237,0,0.0,1.0,1,0.0,1400.0,30.25,1912.0,male,Nisei,2005.0,A
198,23,643,0,0.0,1.0,1,0.0,1358.0,23.0,1920.0,female,Nisei,2005.0,A
2,40,1401,0,0.0,1.0,1,0.0,1312.0,22.333,1920.0,male,Nisei,1997.0,A
205,34,1506,0,0.0,1.0,1,0.0,1314.0,23.333,1919.0,male,Nisei,1983.0,A
207,28,374,0,0.0,1.0,1,1.0,1312.0,18.333,1924.0,male,Nisei,2003.0,A
209,49,405,0,0.0,1.0,1,0.0,2645.0,25.417,1917.0,male,Nisei,2006.0,A
21,25,195,0,0.0,1.0,1,1.0,2705.0,16.333,1926.0,female,Nisei,1998.0,A
210,19,717,0,0.0,1.0,1,0.0,1175.0,19.667,1923.0,female,Nisei,2006.0,A
211,25,968,0,0.0,1.0,1,0.0,2461.0,19.5,1923.0,male,Nisei,2006.0,A
212,25,973,0,0.0,1.0,1,0.0,2444.0,25.5,1917.0,male,Nisei,2006.0,A
214,25,194,0,0.0,1.0,1,0.0,2705.0,24.333,1918.0,female,Nisei,2006.0,A
